"436Christoph KramerBorussia M.Gladbach, 33, M(C)",6.13
"437Jens Petter HaugeEintracht Frankfurt, 25, AM(CLR)",6.13
"438Finn BeckerHoffenheim, 24, M(C)",6.13
"439Sebastian RodeEintracht Frankfurt, 34, D(R),M(C)",6.13
"440Bambasé ContéHoffenheim, 21, Midfielder",6.12
"441Thorgan HazardBorussia Dortmund, 31, M(CLR),FW",6.12
"442Kenneth SchmidtFreiburg, 22, Defender",6.12
"443Bartol FranjicDarmstadt, 25, D(L),DMC",6.12
"444Julien DuranvilleBorussia Dortmund, 18, Forward",6.11
"445Ryan GravenberchBayern, 22, DMC",6.11
"446Gerrit HoltmannDarmstadt, 29, D(L),M(LR)",6.11
"447Matteo VinlöfBayern, 19, Defender",6.1
